# --- S TIER (1.0 - 0.9) ---
Wonder Guard,1.0
Huge Power,0.95
Pure Power,0.95
Shadow Tag,0.9
Arena Trap,0.9
Moody,0.9
Speed Boost,0.9
Prankster,0.9
Simple,0.9
No Guard,0.9
Multiscale,0.9
Magic Guard,0.9
Imposter,0.9

# --- A TIER (0.8 - 0.85) ---
Levitate,0.85
Disguise,0.85
Contrary,0.85
Magnet Pull,0.85
Serene Grace,0.85
Parental Bond,0.85
Protean,0.85
Libero,0.85
Drought,0.85
Drizzle,0.85
Sand Stream,0.85
Snow Warning,0.85
Intimidate,0.85
Regenerator,0.85
Sheer Force,0.85
Moxie,0.85
Beast Boost,0.85
Soul-Heart,0.85
Poison Heal,0.85
Skill Link,0.85
Adaptability,0.85
Download,0.85
Technician,0.85
Tough Claws,0.85
Mega Launcher,0.85
Strong Jaw,0.85
Refrigerate,0.85
Pixilate,0.85
Aerilate,0.85
Galvanize,0.85

# --- B TIER (0.7 - 0.75) ---
Guts,0.75
Marvel Scale,0.75
Compound Eyes,0.75
Tinted Lens,0.75
Super Luck,0.75
Sniper,0.75
Analytic,0.75
Infiltrator,0.75
Unaware,0.75
Magic Bounce,0.75
Storm Drain,0.75
Lightning Rod,0.75
Flash Fire,0.75
Water Absorb,0.75
Volt Absorb,0.75
Sap Sipper,0.75
Motor Drive,0.75
Dry Skin,0.75
Solid Rock,0.75
Filter,0.75
Thick Fat,0.75
Fur Coat,0.75
Sturdy,0.75
Rough Skin,0.7
Iron Barbs,0.7
Mold Breaker,0.7
Teravolt,0.7
Turboblaze,0.7
Natural Cure,0.7
Chlorophyll,0.7
Swift Swim,0.7
Sand Rush,0.7
Slush Rush,0.7
Sand Force,0.7
Scrappy,0.7
Justified,0.7
Rattled,0.7
Competitive,0.7
Defiant,0.7
Cursed Body,0.7
Mummy,0.7
Gooey,0.7
Aftermath,0.7

# --- C TIER (0.6 - Standard Utility) ---
Static,0.6
Flame Body,0.6
Effect Spore,0.6
Pressure,0.6
Insomnia,0.6
Vital Spirit,0.6
Limber,0.6
Own Tempo,0.6
Oblivious,0.6
Magma Armor,0.6
Water Veil,0.6
Immunity,0.6
Hyper Cutter,0.6
Damp,0.6
Cloud Nine,0.6
Air Lock,0.6
Suction Cups,0.6
Soundproof,0.6
Clear Body,0.6
White Smoke,0.6
Shell Armor,0.6
Battle Armor,0.6
Sticky Hold,0.6
Liquid Ooze,0.6
Color Change,0.6
Forecast,0.6
Gluttony,0.6
Anger Point,0.6
Unburden,0.6
Heatproof,0.6
Anticipation,0.6
Forewarn,0.6
Frisk,0.6
Reckless,0.6
Iron Fist,0.6
Rivalry,0.6
Steadfast,0.6
Snow Cloak,0.6
Sand Veil,0.6
Tangled Feet,0.6
Ice Body,0.6
Rain Dish,0.6
Solar Power,0.6
Leaf Guard,0.6
Hydration,0.6
Flower Gift,0.6
Bad Dreams,0.6
Pickpocket,0.6
Magician,0.6

# --- D TIER (0.5 - Neutral/Default) ---
Keen Eye,0.5
Inner Focus,0.5
Big Pecks,0.5
Klutz,0.5
Stall,0.5
Illuminate,0.5
Run Away,0.5
Honey Gather,0.5
Pickup,0.5
Plus,0.5
Minus,0.5
Healer,0.5
Telepathy,0.5

# --- F TIER (0.0 - 0.3 - Detrimental) ---
Defeatist,0.3
Emergency Exit,0.3
Wimp Out,0.3
Slow Start,0.1
Truant,0.0

Harvest,0.75
Weak Armor,0.7
Toxic Boost,0.75
Analytic,0.75
Overcoat,0.7
Light Metal,0.7
Heavy Metal,0.7
Zen Mode,0.7
Multitype,0.8
Stance Change,0.8
Steelworker,0.8
Innards Out,0.75
Gale Wings,0.8
Quick Feet,0.6
Early Bird,0.6
Shed Skin,0.6
Shield Dust,0.6
Wonder Skin,0.6
Poison Point,0.6
Poison Touch,0.6
Cute Charm,0.6
Normalize,0.6
Stench,0.6
Swarm,0.6
Torrent,0.6
Blaze,0.6
Overgrow,0.6
Trace,0.5
Illusion,0.5
Hustle,0.7
Flare Boost,0.75
Unnerve,0.6
